"20_CAM_01" "20_CAM_02" "20_CAM_03" "20_CAM_04" "20_CAM_05" "21_CAM_01" "21_CAM_02" "21_CAM_03" "21_CAM_04" "21_CAM_05" "21_CAM_06" "21_CAM_07" "21_CAM_08" "21_CAM_09" "21_CAM_10" "21_CAM_11" "21_CAM_12" "21_CAM_13" "21_CAM_16" "21_CAM_17" "21_CAM_18" "22_CAM_01" "22_CAM_02" "22_CAM_03" "22_CAM_04" "22_CAM_05" "22_CAM_06" "22_CAM_07" "22_CAM_08" "22_CAM_09" "22_CAM_10" "22_CAM_11" "22_CAM_12" "22_CAM_13" "22_CAM_14" "22_CAM_15" "22_CAM_16" "22_CAM_17" "22_CAM_18" "22_CAM_19" "22_CAM_20" "22_CAM_21"
"Aureobasidium_pullulans" 1448 65 102 20 52 388 139 188 133 895 217 12 827 3015 431 59 188 21 21416 1180 699 54 82 91 110 178 120 27 1668 2730 6 53 1420 6945 7876 62 16 580 22 12 32 105
"Austroafricana_parva" 1 0 1 192 2272 192 39 215 54 37 66 4 1 0 0 2 1909 682 13 422 1 9 13 55 10 2 1 4 0 0 0 0 50 18 545 1 1 6 0 5 0 0
"Bacillicladium_clematidis" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bacillicladium_lobatum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"Bagliettoa_cazzae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 38 0 535 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Banksiophoma_australiensis" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 238 8 9 4 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0
"Beauveria_pseudobassiana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Bezerromyces_gobabebensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bimuria_novae-zelandiae" 583 7 869 0 0 0 38 0 1628 0 298 34 0 1 144 312 0 0 0 0 0 0 0 3 0 213 58 1981 0 0 33 1275 10 1 0 0 253 773 7624 7 7 17
"Bipolaris_panici-miliacei" 8 1 0 0 0 4 0 2 0 1 0 0 7 23 0 451 2 0 0 0 0 0 1 0 0 1 0 101 4 11 70 7 5 1 1 0 0 0 0 0 0 0
"Bipolaris_zeicola" 611 96 2 1 0 0 0 0 0 0 0 0 4 3 0 0 5 0 0 0 0 0 9 1 0 0 0 0 15 1 0 0 0 0 0 0 0 0 0 137 0 0
"Bjerkandera_adusta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"Blumeria_americana" 0 1 0 0 0 7 1 0 3073 3 2 0 0 12 12 0 0 0 0 0 0 0 0 1 1 104 165 0 1 0 0 5 4 30 65 0 0 0 2 0 0 0
"Blumeria_graminis" 0 1505 0 0 6 0 1 9 1 0 6 0 0 7 1 0 10 1 0 0 0 1 0 0 5 0 0 0 0 0 1 0 0 0 170 0 0 0 0 0 0 1
"Botryosphaeria_scharifii" 0 0 0 0 2 0 0 1 0 22 0 0 0 1 0 0 72 0 0 0 7157 0 0 0 2 356 1211 1 0 0 0 0 0 694 6 1 162 321 0 0 0 3
"Botryotrichum_spirotrichum" 0 14 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5 4 1 1 0 9 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0
"Botrytis_caroliniana" 12 1 15 0 6 42 312 21 0 17 2 0 137 1722 39 11 18 0 7 24 0 977 171 8 13 275 4 1 98364 16961 0 7 2 46 18 1 19 649 0 5 0 1
"Boubovia_nicholsonii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 10 14 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brevicellicium_olivascens" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brocchiosphaera_bulbiformis" 0 0 0 0 0 5 23 0 0 0 0 0 35 311 0 12 0 0 0 0 0 0 0 0 0 0 0 0 1 21 0 14 0 0 0 0 0 0 0 0 0 0
"Brunnipila_fuscescens" 0 1 1 3 4 1 3 1 0 6 4 1 4 6 0 1 7 8 31 11 5 7 0 2 0 1 0 0 1 2 0 0 1 1 5 0 0 1 1 1 1 13
"Bryoria_fremontii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 16 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0
"Bullera_alba" 0 0 0 0 0 11 3 0 0 0 0 27 62 128 1 0 5 0 0 0 0 0 0 0 0 0 0 0 25 6 0 0 0 0 0 0 0 0 9 0 0 0
"Bullera_unica" 1 1 25 0 0 21 41 0 0 0 0 2 60 128 0 0 0 0 0 0 0 11 17 1 4 21 24 3 42 2 0 0 0 0 0 0 0 1 5 1 0 0
"Bulleribasidium_cremeum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bulleribasidium_oberjochense" 0 0 0 0 0 0 0 0 0 0 0 0 1 17 0 0 0 79 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bulleribasidium_wuzhishanense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Byssoascus_striatosporus" 0 0 0 0 0 1 1 0 0 0 0 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0
"Byssomerulius_corium" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cadophora_helianthi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 6 0 0 0
"Caloplaca_chlorina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Caloplaca_raesaenenii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calycina_marina" 0 0 0 0 0 1 0 22 1 0 1 0 2 0 0 0 0 0 0 0 0 0 3 0 0 2 0 0 0 4 1 0 0 1 0 0 0 0 0 0 0 0
"Calyptella_capula" 34 0 0 0 0 69 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 67 236 39 16 0 202 2 0 0 0 0 0 1 0 0 438 0 0 0 0 0
"Camarosporioides_phragmitis" 1 0 0 1 0 0 0 0 0 964 8625 6 0 0 2 2 1 0 2 0 110 0 0 0 0 0 1 0 0 1 0 1 0 0 4 0 1 1 1 0 1 0
"Camarosporium_sophorae" 0 0 0 1 0 0 0 1 0 3 0 0 1 0 0 0 0 0 0 0 4 0 0 124 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0
"Camposporium_septatum" 0 0 0 17 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 56 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Canariomyces_microsporus" 0 0 0 0 2 0 3 0 0 0 1 0 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Canariomyces_notabilis" 0 0 0 0 0 0 0 0 0 0 1 0 0 9 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Candelariella_clarkiae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Carlosrosaea_foliicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Catenulostroma_hermanusense" 0 0 3 1658 7773 208 71 1734 32 16 470 16 0 0 1 1 2499 3278 298 3686 0 19 47 767 206 2 14 31 0 0 0 0 17 1 136 0 0 56 1 6 1 0
"Catenulostroma_lignicola" 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 8 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
"Ceratorhiza_rhizodes" 2 1 78 0 0 57 9 0 0 0 0 0 0 0 8 0 0 1 0 0 0 605 52 44 333 69 320 0 6 3 136 0 0 0 0 0 0 0 0 0 0 0
"Cercophora_fici" 7 0 1 32 38 2 9 81 0 0 0 0 0 0 0 0 46 0 0 0 0 0 47 38 1 48 82 37 0 1 3 0 0 0 4 0 0 0 1 6 0 0
