Host_code	Host_community	GPS_localisation	Locality	Country	Ecosystem	Collection_date	Sequencing_plate	Additional_information	Biomass	Grid_code	Vegetation	Litter	Soil	Rocks
20_CAM_050500	"Juncus maritimus_20;Elytrigia sp._37,5;Lysimachia arvensis_3;Centaurium tenuiflorum subsp. acutiflorum_0,5"	43.476521037518978,4.662497006356716	Arles	France	Mediterranean grassland	2020-06-23	20CAM-3_C08		22.66	20_CAM_05	60	40	0	
20_CAM_050600	"Juncus maritimus_37,5;Elytrigia sp._37,5;Halimione portulacoides_3"	43.476521037518978,4.662497006356716	Arles	France	Mediterranean grassland	2020-06-23	20CAM-3_H08		68.44	20_CAM_05	90	10	0	
20_CAM_050700	"Juncus maritimus_37,5;Elytrigia sp._37,5;Limonium narbonense_37,5;Centaurium tenuiflorum subsp. acutiflorum_3;Lactuca saligna_0,5;Dactylis glomerata_0,5;Phillyrea angustifolia_0,5"	43.476521037518978,4.662497006356716	Arles	France	Mediterranean grassland	2020-06-23	20CAM-3_F07		33.49	20_CAM_05	90	10	0	
20_CAM_050800	"Juncus maritimus_0,5;Elytrigia sp._37,5;Halimione portulacoides_62,5"	43.476521037518978,4.662497006356716	Arles	France	Mediterranean grassland	2020-06-23	20CAM-3_C06		27.31	20_CAM_05	80	20	0	
20_CAM_050900	"Juncus maritimus_37,5;Elytrigia sp._62,5;Limonium narbonense_10"	43.476521037518978,4.662497006356716	Arles	France	Mediterranean grassland	2020-06-23	20CAM-3_H06		24.09	20_CAM_05	80	20	0	
20_BDX_010100	"Rumex acetosella_37,5;Plantago lanceolata_10;Convolvulus arvensis_3;Poa trivialis_20;Cynodon dactylon_10"	44.78678,-0.57676	Villenave d'Ornon	France	Temperate grassland	2020-06-23	20CAM-3_C04		3.95	20_BDX_01				
20_BDX_010200	"Rumex acetosella_10;Convolvulus arvensis_3;Cynodon dactylon_3;Ornithopus compressus_20;Geranium molle_10;Avena fatua_3;Gramineae sp._37,5"	44.78678,-0.57676	Villenave d'Ornon	France	Temperate grassland	2020-06-23	20CAM-3_H04		11.75	20_BDX_01				
20_BDX_010300	"Convolvulus arvensis_37,5;Cynodon dactylon_37,5"	44.78678,-0.57676	Villenave d'Ornon	France	Temperate grassland	2020-06-23	20CAM-3_F03		4.89	20_BDX_01				
20_BDX_010400	"Plantago lanceolata_62,5;Cynodon dactylon_3;Gramineae sp._20"	44.78678,-0.57676	Villenave d'Ornon	France	Temperate grassland	2020-06-23	20CAM-3_C02		5.82	20_BDX_01				
20_BDX_010500	Cynodon dactylon_87,5	44.78678,-0.57676	Villenave d'Ornon	France	Temperate grassland	2020-06-23	20CAM-3_H02		2.89	20_BDX_01				
20_BDX_010600	"Plantago lanceolata_3;Convolvulus arvensis_37,5;Cynodon dactylon_10;Ornithopus compressus_20;Hypochaeris radicata_37,5"	44.78678,-0.57676	Villenave d'Ornon	France	Temperate grassland	2020-06-23	20CAM-3_E01		18.26	20_BDX_01				
20_BDX_010700	"Rumex acetosella_10;Plantago lanceolata_10;Cynodon dactylon_3;Gramineae sp._37,5;Trifolium arvense_20;Gramineae sp2._10"	44.78678,-0.57676	Villenave d'Ornon	France	Temperate grassland	2020-06-23	20CAM-4_B12		11.64	20_BDX_01				
20_BDX_010800	"Convolvulus arvensis_87,5;Cynodon dactylon_3;Avena fatua_0,5"	44.78678,-0.57676	Villenave d'Ornon	France	Temperate grassland	2020-06-23	20CAM-4_H12		11.34	20_BDX_01				
20_BDX_010900	"Rumex acetosella_10;Plantago lanceolata_3;Convolvulus arvensis_10;Ornithopus compressus_0,5;Gramineae sp._3;Gramineae sp2._10;Malva sylvestris_10;Cerastium sp._3"	44.78678,-0.57676	Villenave d'Ornon	France	Temperate grassland	2020-06-23	20CAM-4_E11		4.14	20_BDX_01				
20_BDX_020100	"Achillea millefolium_20;Ornithopus compressus_20;Anthoxanthum odoratum_62,5;Gramineae sp._10"	44.78931,-0.57605	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_H10		2.35	20_BDX_02				
20_BDX_020200	"Anthoxanthum odoratum_37,5;Gramineae sp._10;Daucus carota_3;Poa pratensis_10"	44.78931,-0.57605	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_E09		2.21	20_BDX_02				
20_BDX_020300	"Achillea millefolium_87,5;Gramineae sp._3"	44.78931,-0.57605	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_B08		1.21	20_BDX_02				
20_BDX_020400	"Ornithopus compressus_20;Gramineae sp._62,5;Lolium perenne_37,5"	44.78931,-0.57605	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_G08		4.3	20_BDX_02				
20_BDX_020500	"Achillea millefolium_62,5;Gramineae sp._37,5"	44.78931,-0.57605	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_E07		3.18	20_BDX_02				
20_BDX_020600	"Achillea millefolium_37,5;Ornithopus compressus_20;Anthoxanthum odoratum_20;Gramineae sp._3"	44.78931,-0.57605	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_B06		2.27	20_BDX_02				
20_BDX_020700	"Achillea millefolium_62,5;Ornithopus compressus_3;Poa pratensis_20"	44.78931,-0.57605	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_G06		1.66	20_BDX_02				
20_BDX_020800	"Poa pratensis_3;Senecio inaequidens_10;Sporobolus indicus_87,5"	44.78931,-0.57605	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_D05		5	20_BDX_02				
20_BDX_020900	"Achillea millefolium_37,5;Ornithopus compressus_3;Anthoxanthum odoratum_37,5;Silene gallica_37,5"	44.78931,-0.57605	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_A04		3.96	20_BDX_02				
20_BDX_030100	"Raphanus raphanistrum_37,5;Plantago lanceolata_10;Convolvulus arvensis_10;Rumex acetosella_10;Sporobolus indicus_20;Carex sp._3"	44.78999,-0.57627	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_C03		5.37	20_BDX_03				
20_BDX_030200	"Raphanus raphanistrum_0,5;Convolvulus arvensis_0,5;Rumex acetosella_3;Sporobolus indicus_20;Avena fatua_20;Achillea millefolium_62,5;Ornithopus compressus_37,5;Trifolium arvense_3;Anthoxanthum odoratum_0,5"	44.78999,-0.57627	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_H03		9.3	20_BDX_03				
20_BDX_030300	"Raphanus raphanistrum_20;Plantago lanceolata_0,5;Convolvulus arvensis_3;Rumex acetosella_10;Avena fatua_10;Ornithopus compressus_3;Anthoxanthum odoratum_3;Gramineae sp._37,5"	44.78999,-0.57627	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_E02		5.3	20_BDX_03				
20_BDX_030400	"Raphanus raphanistrum_10;Plantago lanceolata_37,5;Rumex acetosella_10;Avena fatua_0,5;Ornithopus compressus_3;Anthoxanthum odoratum_20;Bromus hordeaceus_3"	44.78999,-0.57627	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_B01		9.46	20_BDX_03				
20_BDX_030500	"Raphanus raphanistrum_10;Convolvulus arvensis_10;Rumex acetosella_10;Carex sp._10;Avena fatua_3;Achillea millefolium_3;Ornithopus compressus_10;Anthoxanthum odoratum_10;Hypochaeris radicata_20"	44.78999,-0.57627	Villenave d'Ornon	France	Temperate grassland	2020-06-26	20CAM-4_G01		7.75	20_BDX_03				
19_AFS_010100	"Plant1_1;Plant2_1;Plant3_1;Plant4_1;Plant5_1;Plant6_1;Plant7_1"	-34.27243333,18.45189722	Cape Point	South Africa	Postfire regenerated Fynbos	2019-10-01	EDGGA-1_A12		10.95	19_AFS_01				
